1,Acre,AC,Norte
2,Alagoas,AL,Nordeste
3,Amazonas,AM,Norte
4,Amapá,AP,Norte
5,Bahia,BA,Nordeste
6,Ceara,CE,Nordeste
7,Distrito Federal,DF,Centro-Oeste
8,Espirito Santo,ES,Sudeste
9,Goiás,GO,Centro-Oeste
10,Maranhão,MA,Nordeste
11,Minas Gerais,MG,Sudeste
12,Mato Grosso do Sul,MS,Centro-Oeste
13,Mato Grosso,MT,Centro-Oeste
14,Pará,PA,Norte
15,Paraíba,PB,Nordeste
16,Pernambuco,PE,Nordeste
17,Piauí,PI,Nordeste
18,Paraná,PR,Sul
19,Rio de Janeiro,RJ,Sudeste
20,Rio Grande do Norte,RN,Nordeste
21,Rondônia,RO,Norte
22,Roraima,RR,Norte
23,Rio Grande do Sul,RS,Sul
24,Santa Catarina,SC,Sul
25,Sergipe,SE,Nordeste
26,São Paulo,SP,Sudeste
27,Tocantins,TO,Norte
